Profile,Stage Name,Full Name,Korean Name,Korean Stage Name,Date of Birth,Group,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Position,Instagram
,Gayoon,Heo Gayoon,허가윤,가윤,1990-05-18,4minute,South Korea,,165,0,Seoul,2YOON,,,https:/www.instagram.com/gayoon_heo
,Jiyoon,Jeon Jiyoon,전지윤,지윤,1990-10-15,4minute,South Korea,,165,0,Seoul,2YOON,,,https:/www.instagram.com/jenyerjiyoon
,Hyuna,Kim Hyuna,김현아,현아,1992-06-06,4minute,South Korea,,164,0,Jeolla,,Wonder Girls,,https:/www.instagram.com/hyunah_aa
,Sohyun,Kwon Sohyun,권소현,소현,1994-08-30,4minute,South Korea,,162,0,Seoul,,,,https:/www.instagram.com/kkwonsso_94
https://dbkpop.com/idol/jimin-aoa/,Jimin,Shin Jimin,신지민,지민,1991-01-08,,South Korea,,160,43,Seoul,AOA BLACK,AoA,,https:/www.instagram.com/jiminbaby_18
https://dbkpop.com/idol/choa-aoa/,Choa,Park Choa,박초아,초아,1990-03-06,,South Korea,,160,42,Incheon,,"AoA, AOA BLACK",,https:/www.instagram.com/queenchoa_
https://dbkpop.com/idol/yuna-aoa/,Yuna,Seo Yuna,서유나,유나,1992-12-30,AoA,South Korea,,163,45,Busan,AOA BLACK,,,https:/www.instagram.com/yn_s_1230
,Yookyung,Seo Yookyung,서유경,유경,1993-03-15,,South Korea,,167,48,,,AOA BLACK,,https:/www.instagram.com/
https://dbkpop.com/idol/hyejeong-aoa/,Hyejeong,Shin Hyejeong,신혜정,혜정,1993-08-10,AoA,South Korea,,170,48,Seoul,,,,https:/www.instagram.com/dongdong810
https://dbkpop.com/idol/mina-aoa/,Mina,Kwon Mina,권민아,민아,1993-09-21,,South Korea,,159,43,Busan,,"AOA, AOA BLACK",,https:/www.instagram.com/kvwowv
https://dbkpop.com/idol/seolhyun-aoa/,Seolhyun,Kim Seolhyun,김설현,설현,1995-01-03,AoA,South Korea,,167,47,Bucheon,,,,https:/www.instagram.com/sh_9513
https://dbkpop.com/idol/chanmi-aoa/,Chanmi,Kim Chanmi,김찬미,찬미,1996-06-19,AoA,South Korea,,166,47,Gumi,,,,https:/www.instagram.com/chanmi_96a
https://dbkpop.com/idol/sojin-girls-day/,Sojin,Park Sojin,박소진,소진,1986-05-21,Girl's Day,South Korea,,167,47,Daegu,,,,https:/www.instagram.com/ssozi_sojin
https://dbkpop.com/idol/yura-girls-day/,Yura,Kim Ahyoung,김아영,유라,1992-11-06,Girl's Day,South Korea,,168,49,Ulsan,,,,https:/www.instagram.com/yura_936
https://dbkpop.com/idol/minah-girls-day/,Minah,Bang Minah,방민아,민아,1993-05-13,Girl's Day,South Korea,,165,47,Incheon,,,,https:/www.instagram.com/bbang_93
https://dbkpop.com/idol/hyeri-girls-day/,Hyeri,Lee Hyeri,이혜리,혜리,1994-06-09,Girl's Day,South Korea,,167,46,Gwangju,,,,https:/www.instagram.com/hyeri_0609
,Jea,Kim Hyojin,김효진,제아,1981-09-18,Brown Eyed Girls,South Korea,,0,0,,,,,https:/www.instagram.com/jeaworld
,Miryo,Jo Mihye,조미혜,미료,1981-11-02,Brown Eyed Girls,South Korea,,0,0,,,,,https:/www.instagram.com/miryoakajohoney
,Narsha,Park Hyojin,박효진,나르샤,1981-12-28,Brown Eyed Girls,South Korea,,0,0,,,,,https:/www.instagram.com/narsha81
,Gain,Son Gain,손가인,가인,1987-09-20,Brown Eyed Girls,South Korea,,0,0,,,,,https:/www.instagram.com/songain87
https://dbkpop.com/idol/chorong-apink/,Chorong,Park Chorong,박초롱,초롱,1991-03-03,Apink,South Korea,,165,0,Chungwongoon,,,,https:/www.instagram.com/mulgokizary
https://dbkpop.com/idol/bomi-apink/,Bomi,Yoon Bomi,윤보미,보미,1993-08-13,Apink,South Korea,,163,0,Suwon,,,,https:/www.instagram.com/
https://dbkpop.com/idol/eunji-apink/,Eunji,Jung Eunji,정은지,은지,1993-08-18,Apink,South Korea,,163,0,Busan,,,,https:/www.instagram.com/artist_eunji
https://dbkpop.com/idol/naeun-apink/,Naeun,Son Naeun,손나은,나은,1994-02-10,Apink,South Korea,,168,0,Seoul,,,,https:/www.instagram.com/marcella_the_naeun
https://dbkpop.com/idol/namjoo-apink/,Namjoo,Kim Namjoo,김남주,남주,1995-04-15,Apink,South Korea,,165,0,Seoul,,,,https:/www.instagram.com/sarangdungy
https://dbkpop.com/idol/hayoung-apink/,Hayoung,Oh Hayoung,오하영,하영,1996-07-19,Apink,South Korea,,167,0,Seoul,,,,https:/www.instagram.com/o_h_y_y
https://dbkpop.com/idol/solji-exid/,Solji,Heo Solji,허솔지,솔지,1989-01-10,EXID,South Korea,,170,0,Seongnam,,,,https:/www.instagram.com/soul.g_heo
https://dbkpop.com/idol/le-exid/,LE,Ahn Hyejin,안효진,엘리,1991-12-10,EXID,South Korea,,168,0,Cheonan,,,,https:/www.instagram.com/x_xellybabyx
https://dbkpop.com/idol/hani-exid/,Hani,Ahn Hee-yeon,안희연,하니,1992-05-01,EXID,South Korea,,168,0,Seoul,,,,https:/www.instagram.com/ahnhani_92
https://dbkpop.com/idol/hyerin-exid/,Hyerin,Seo Hyerin,서혜린,혜린,1993-08-23,EXID,South Korea,,165,0,Gwangju,,,,https:/www.instagram.com/hyeliniseo
https://dbkpop.com/idol/junghwa-exid/,Junghwa,Park Junghwa,박정화,정화,1995-05-08,EXID,South Korea,,169,0,Anyang,,EXID,,https:/www.instagram.com/jeonghwa_0508
,Hyeyeon,Kang Hyeyeon,강혜연,혜연,1990-12-08,BESTie,South Korea,,0,0,,,EXID,,https:/www.instagram.com/hyeyeon_2
,Uji,Jang Yuji,정유지,유지,1991-01-02,,South Korea,,0,0,,,"EXID, BESTie",,https:/www.instagram.com/yudi_didi
,Dahye,Song Dahye,송다혜,다혜,1993-06-12,,South Korea,,0,0,,,"EXID, BESTie",,https:/www.instagram.com/dahye0612
,Haeryeong,Na Haeryeong,나해령,해령,1994-11-11,BESTie,South Korea,,0,0,,,,,https:/www.instagram.com/bestie_hr
https://dbkpop.com/idol/yubin-wonder-girls/,Yubin,Kim Yubin,김유빈,유빈,1988-10-04,Wonder Girls,South Korea,,163,0,Gwangju,,,,https:/www.instagram.com/
https://dbkpop.com/idol/yeeun-wonder-girls/,Yenny,Park Yeeun,박예은,예은,1989-05-26,Wonder Girls,South Korea,,165,0,Goyang,,,,https:/www.instagram.com/hatfelt
https://dbkpop.com/idol/sunmi-wonder-girls/,Sunmi,Lee Sunmi,이선미,선미,1992-05-02,Wonder Girls,South Korea,,167,0,Iksan,,,,https:/www.instagram.com/miyayeah
https://dbkpop.com/idol/hyerim-wonder-girls/,Hyerim,Woo Hyerim,우혜림,혜림 ,1992-09-01,Wonder Girls,South Korea,,167,0,Seoul,,,,https:/www.instagram.com/wg_lim
,Fei,Wang FeiFei,왕페이페이,페이,1987-04-27,miss A,China,,165,0,Haikou,,,,https:/www.instagram.com/ff0427
,Jia,Meng Jia,멍지아,지아,1989-02-03,miss A,China,,166,0,Changja,,,,https:/www.instagram.com/mjbaby0203
,Min,Lee Minyoung,이민영,민,1991-06-21,miss A,South Korea,,161,0,Seoul,,,,https:/www.instagram.com/therealminnn
,Suzy,Bae Suji,배수지,수지,1994-10-10,miss A,South Korea,,168,0,Gwangju,,,,https:/www.instagram.com/skuukzky
,Jamie,Park Jimin,박지민,박지민,1997-07-05,15&,South Korea,,160,0,Junggu,,,,https:/www.instagram.com/jiminxjamie
,Yerin,Baek Yerin,백예린,백예린,1997-06-26,15&,South Korea,,165,0,Daejeon,,,,https:/www.instagram.com/yerinb
https://dbkpop.com/idol/jihyo/,Jihyo,Park Jisoo,박지수,지효,1997-02-01,Twice,South Korea,,162,0,Guri,,,"Leader, Main Vocal",https:/www.instagram.com/
https://dbkpop.com/idol/nayeon/,Nayeon,Im Nayeon,임나연,나연,1995-09-22,Twice,South Korea,,163,0,Seoul,,,,https:/www.instagram.com/
https://dbkpop.com/idol/jeongyeon/,Jeongyeon,Yoo Jeongyeon,유정연,정연,1996-11-01,Twice,South Korea,,168,0,Suwon,,,,https:/www.instagram.com/
https://dbkpop.com/idol/momo/,Momo,Hirai Momo,히라이 모모,모모,1996-11-09,Twice,Japan,,167,0,Kyoto,,,,https:/www.instagram.com/
https://dbkpop.com/idol/sana/,Sana,Minatozaki Sana,미나토자키 사나,사나,1996-12-29,Twice,Japan,,168,0,Osaka,,,,https:/www.instagram.com/
https://dbkpop.com/idol/mina-twice/,Mina,Myoui Mina,묘이 미나, 미나,1997-03-24,Twice,Japan,,163,0,San Antonio,,,,https:/www.instagram.com/
https://dbkpop.com/idol/dahyun/,Dahyun,Kim Dahyun,김다현,다현,1998-05-28,Twice,South Korea,,165,0,Seongnam,,,,https:/www.instagram.com/
https://dbkpop.com/idol/chaeyoung/,Chaeyoung,Son Chaeyoung,손채영,채영,1999-04-23,Twice,South Korea,,159,0,Seoul,,,,https:/www.instagram.com/
https://dbkpop.com/idol/tzuyu/,Tzuyu,Chou Tzuyu,저우쯔위,쯔위,1999-06-14,Twice,Taiwan,,169,0,Tainan,,,,https:/www.instagram.com/
https://dbkpop.com/idol/seunghee-clc/,Seunghee,Oh Seunghee,오승희,승희,1995-10-10,CLC,South Korea,,163,0,Gwangju,,,,https:/www.instagram.com/
https://dbkpop.com/idol/yujin-clc/,Yujin,Choi Yujin,최유진,유진,1996-08-12,Kep1er,South Korea,,164,0,Jeonju,,CLC,,https:/www.instagram.com/
https://dbkpop.com/idol/seungyeon-clc/,Seungyeon,Jang Seunyeon,장승연,승연,1996-11-06,CLC,South Korea,,163,0,Seongnam,,,,https:/www.instagram.com/
https://dbkpop.com/idol/sorn-clc/,Sorn,Chonnasorn Sajakul,촌나손 사짜꾼,손,1996-11-18,CLC,Thailand,,164,0,Bangkok,,,,https:/www.instagram.com/
https://dbkpop.com/idol/yeeun-clc/,YeeEun,Jang Yeeun,장예은,예은,1998-08-10,CLC,South Korea,,166,0,Dongducheon,,,,https:/www.instagram.com/
,Hyuna,Moon Hyuna,문현아,현아,1987-01-19,,South Korea,,172,50,Yeosu,,9Muses,,https:/www.instagram.com/moongom119
,Euaerin,Lee Hyemin,이혜민,이유애린,1988-05-03,,South Korea,,174,48,Seoul,,9Muses,,https:/www.instagram.com/
,Sungah,Son Sungah,손성아,성아,1989-07-08,9Muses,South Korea,Fiji,172,48,Suma,,,,https:/www.instagram.com/ssungahhbaby
,Kyungri,Park Kyungri,박경리,경리,1990-07-05,9Muses,South Korea,,170,50,Busan,9MUSES A,,,https:/www.instagram.com/gyeongree
,Hyemi,Pyo Hyemi,표혜미,혜미,1991-04-03,9Muses,South Korea,,171,46,Gwangju,9MUSES A,,,https:/www.instagram.com/pyopyohyemi
,Minha,Park Minha,박민하,민하,1991-06-27,,South Korea,,172,47,Seoul,,9Muses,,https:/www.instagram.com/blossomh_
,Sojin,Jo Sojin,조소진,소진,1991-10-11,9Muses,South Korea,,170,47,Gwangju,9MUSES A,,,https:/www.instagram.com/josojin_1011
,Keumjo,Lee Keumjo,이금조,금조,1992-12-17,9Muses,South Korea,,167,48,Daegu,9MUSES A,,,https:/www.instagram.com/keumjo_1217
https://dbkpop.com/idol/sowon/,Sowon,Kim Sojung,김소정,소원,1995-12-07,Gfriend,South Korea,,172,0,Seoul,,,,https:/www.instagram.com/
https://dbkpop.com/idol/yerin/,Yerin,Jung Yerin,정예린,예린,1996-08-19,Gfriend,South Korea,,167,0,Incheon,,,,https:/www.instagram.com/
https://dbkpop.com/idol/eunha/,Eunha,Jung Eunbi,정은비,은하,1997-05-30,VIVIZ,South Korea,,163,0,Seoul,,Gfriend,,https:/www.instagram.com/
https://dbkpop.com/idol/yuju/,Yuju,Choi Yuna,최유나,유주,1997-10-04,Gfriend,South Korea,,169,0,Goyang,,,,https:/www.instagram.com/
https://dbkpop.com/idol/sinb/,SinB,Hwang Eunbi,황은비 ,신비,1998-06-03,VIVIZ,South Korea,,165,0,Cheongju,,Gfriend,,https:/www.instagram.com/
https://dbkpop.com/idol/umji/,Umji,Kim Yewon,김예원,엄지,1998-08-19,VIVIZ,South Korea,,163,0,Incheon,,Gfriend,,https:/www.instagram.com/
,Victoria,Song Qian,송치엔,빅토리아,1987-02-02,f(x),China,,168,45,Qingdao,,,,https:/www.instagram.com/victoria02_02
,Amber,Amber Josephine Liu,엠버 조세핀 리우,엠버,1992-09-18,f(x),USA,Taiwan,167,0,Los Angeles,,,,https:/www.instagram.com/ajol_llama
,Luna,Park Sunyoung,박선영,루나,1993-08-12,f(x),South Korea,,162,0,Seoul,,,,https:/www.instagram.com/hermosavidaluna
,Krystal,Krystal Jung,크리스탈 정,크리스탈,1994-10-24,f(x),South Korea,,165,0,San Francisco,,,,https:/www.instagram.com/vousmevoyez
https://dbkpop.com/idol/irene-red-velvet/,Irene,Bae Juhyun,배주현,아이린,1991-03-29,Red Velvet,South Korea,,161,0,Daegu,Red Velvet - IRENE SEULGI,,,https:/www.instagram.com/
https://dbkpop.com/idol/seulgi-red-velvet/,Seulgi,Kang Seulgi,강슬기,슬기,1994-02-10,Red Velvet,South Korea,,162,0,Seoul,Red Velvet - IRENE SEULGI,,,https:/www.instagram.com/
https://dbkpop.com/idol/wendy-red-velvet/,Wendy,Son Seunghwan,손승완,웬디,1994-02-21,Red Velvet,South Korea,,160,0,Seoul,,,,https:/www.instagram.com/
https://dbkpop.com/idol/joy-red-velvet/,Joy,Park Sooyoung,박수영,조이,1996-09-03,Red Velvet,South Korea,,163,0,Jeju,,,,https:/www.instagram.com/
https://dbkpop.com/idol/yeri-red-velvet/,Yeri,Kim Yerim,김예림,예리,1999-03-05,Red Velvet,South Korea,,158,0,Seoul,,,,https:/www.instagram.com/
,BoA,Kwon Boa,권보아,보아,1986-11-05,,South Korea,,0,0,Guri,,,,https:/www.instagram.com/boakwon
,Ailee,Lee Yejin,이예진,에일리,1989-05-30,,South Korea,USA,165,0,Denver,,,,https:/www.instagram.com/aileeonline
,G.NA,Gina Jane Choi,최지나,지나,1987-09-13,,Canada,South Korea,167,0,Edmonton,,,,https:/www.instagram.com/missginachoi87
,Taeha,Yoo Taeha,유태하,태하,1995-10-05,,South Korea,,162,0,,,Berry Good,,https:/www.instagram.com/
,Seoyul,Seo Yuri,서유리,서율,1997-11-26,Berry Good,South Korea,,163,0,,,,,https:/www.instagram.com/
,Daye,Kim Hyunjung,김현정,다예,1998-02-25,Berry Good,South Korea,,167,0,,,,,https:/www.instagram.com/
,Sehyung,Kang Sehyung,강세형,세형,1998-12-13,Berry Good,South Korea,,169,0,,,,,https:/www.instagram.com/
,Gowoon,Moon Joojeong,문유정,고운,1998-12-18,Berry Good,South Korea,,167,0,,,,,https:/www.instagram.com/
,Hyangsuk,Lee Hyangsuk,이향숙,향숙,1991-04-24,2EYES,South Korea,,165,0,Seoul,,,,https:/www.instagram.com/baby_sook
,Daeun,Jung Daeun,정다은,정다은,1994-06-03,2EYES,South Korea,,161,0,Bucheon,,,,https:/www.instagram.com/da.ni_jung
,Dasom,Lee Dasom,이다솜,다솜,1993-11-13,2EYES,South Korea,,164,0,Cheongju,,,,https:/www.instagram.com/
,Hyerin,Kim Hyerin,김혜린,혜린,1993-06-13,2EYES,South Korea,,170,0,Seoul,,,,https:/www.instagram.com/hyelyn0723
,IU,Lee Jieun,이지은,아이유,1993-05-16,,South Korea,,162,0,Seoul,,,,https:/www.instagram.com/dlwlrma
,Jei,Kim Jinhee,김진희,재이,1989-09-05,Fiestar,South Korea,,162,0,Bucheon,,,,https:/www.instagram.com/kimjeii
,Cao Lu,Cao Lu,차오루,차오루,1987-08-30,Fiestar,China,,166,0,Zhangjiajie,,,,https:/www.instagram.com/better_me_lulu
,Linzy,Im Minji,임민지,린지,1989-10-22,Fiestar,South Korea,,168,0,Incheon,,,,https:/www.instagram.com/linzy_minji
,Hyemi,Kim Hyemi,김혜미,혜미,1990-08-10,Fiestar,South Korea,,161,0,Seoul,,,,https:/www.instagram.com/hyemi_haaaaam
,Yezi,Lee Yeji,이예지,예지,1994-08-26,Fiestar,South Korea,,161,0,Gangneung,,,,https:/www.instagram.com/-
https://dbkpop.com/idol/hana-gugudan/,Hana,Shin Bora,신보라,하나,1993-04-30,Gugudan,South Korea,,0,0,,,,,https:/www.instagram.com/
https://dbkpop.com/idol/mimi-gugudan/,Mimi,Jung Mimi,정미미,미미,1993-01-01,Gugudan,South Korea,,163,0,,,,,https:/www.instagram.com/
https://dbkpop.com/idol/haebin-gugudan/,Haebin,Han Haebin,한해빈,해빈,1995-08-16,Gugudan,South Korea,,0,0,,,,,https:/www.instagram.com/
https://dbkpop.com/idol/nayoung-gugudan/,Nayoung,Kim Nayoung,김나영,나영,1995-11-23,Gugudan,South Korea,,169,50,,,,,https:/www.instagram.com/
https://dbkpop.com/idol/sejeong-gugudan/,Sejeong,Kim Sejeong,김세정,세정,1996-08-28,Gugudan,South Korea,,164,48,,,I.O.I,,https:/www.instagram.com/
https://dbkpop.com/idol/sally-gugudan/,Sally,Liu Xiening,류셰닝,샐리,1996-10-23,Gugudan,China,,0,0,Guangdong,,,,https:/www.instagram.com/
https://dbkpop.com/idol/soyee-gugudan/,Soyee,Jang Sojin,장소진,소이,1996-11-21,Gugudan,South Korea,,0,0,,,,,https:/www.instagram.com/
https://dbkpop.com/idol/mina-gugudan/,Mina,Kang Mina,강미나,미나,1999-12-04,Gugudan,South Korea,,162,48,Icheon,Gugudan Oguogu,I.O.I,,https:/www.instagram.com/
https://dbkpop.com/idol/hyeyeon-gugudan/,Hyeyeon,Cho Hyeyeon,조혜연,혜연,2000-08-05,,South Korea,,0,0,,Gugudan Oguogu,Gugudan,,https:/www.instagram.com/
https://dbkpop.com/idol/hyojung/,Hyojung,Choi Hyojung,최효정,효정,1994-07-28,Oh My Girl,South Korea,,160,46,Yangyang,,,,https:/www.instagram.com/
https://dbkpop.com/idol/jine/,JinE,Shin Hyejin,신혜진,진이,1995-01-22,,South Korea,,160,48,Pohang,,Oh My Girl,,https:/www.instagram.com/
https://dbkpop.com/idol/mimi/,Mimi,Kim Mihyun,김미현,미미,1995-05-01,Oh My Girl,South Korea,,163,50,Jeju,,,,https:/www.instagram.com/
https://dbkpop.com/idol/yooa/,Yooa,Yoo Siah,유시아,유아,1995-09-17,Oh My Girl,South Korea,,160,50,Seoul,,,,https:/www.instagram.com/
https://dbkpop.com/idol/seunghee-oh-my-girl/,Seunghee,Hyun Seunghee,현승희,승희,1996-01-25,Oh My Girl,South Korea,,160,48,Chuncheon,,,,https:/www.instagram.com/
https://dbkpop.com/idol/jiho/,Jiho,Kim Jiho,김지호,지호,1997-04-04,Oh My Girl,South Korea,,165,49,Okcheon,,,,https:/www.instagram.com/
https://dbkpop.com/idol/binnie/,Binnie,Bae Yubin,배유빈,비니,1997-09-09,Oh My Girl,South Korea,,161,49,Chuncheon,,,,https:/www.instagram.com/
https://dbkpop.com/idol/arin/,Arin,Choi Yewon,최예원,아린,1999-06-18,Oh My Girl,South Korea,,163,47,Busan,,,,https:/www.instagram.com/
https://dbkpop.com/idol/babysoul-lovelyz/,Babysoul,Lee Soojung,이수정,베이비소울,1992-07-06,Lovelyz,South Korea,,158,41,Gwangju,,,Leader,https:/www.instagram.com/
https://dbkpop.com/idol/jiae-lovelyz/,Jiae,Yoo Jiae,유지애,지애,1993-05-21,Lovelyz,South Korea,,163,43,Seoul,,,,https:/www.instagram.com/
https://dbkpop.com/idol/jisoo-lovelyz/,Jisoo,Seo Jisoo,서지수,지수,1994-02-11,Lovelyz,South Korea,,165,46,Incheon,,,,https:/www.instagram.com/
https://dbkpop.com/idol/mijoo-lovelyz/,Mijoo,Lee Mijoo,이미주,미주,1994-09-23,Lovelyz,South Korea,,167,47,Okcheon,,,,https:/www.instagram.com/
https://dbkpop.com/idol/kei-lovelyz/,Kei,Kim Jiyeon,김지연,케이,1995-03-20,Lovelyz,South Korea,,162,47,Incheon,,,,https:/www.instagram.com/
https://dbkpop.com/idol/jin-lovelyz/,JIN,Park Myungeun,박명은,진,1996-06-12,Lovelyz,South Korea,,165,47,Busan,,,,https:/www.instagram.com/
https://dbkpop.com/idol/sujeong-lovelyz/,Sujeong,Ryu Sujeong,류수정,수정,1997-11-19,Lovelyz,South Korea,,168,48,Daejeon,,,,https:/www.instagram.com/
https://dbkpop.com/idol/yein-lovelyz/,Yein,Jeong Yein,정예인,예인,1998-06-04,Lovelyz,South Korea,,166,0,Incheon,,,,https:/www.instagram.com/
https://dbkpop.com/idol/yujeong-laboum/,Yujeong,Kim Yujeong,김유정,유정,1992-02-14,,South Korea,,161,42,Seoul,,LABOUM,Leader,https:/www.instagram.com/
https://dbkpop.com/idol/soyeon-laboum/,Soyeon,Jung Soyeon,정소연,소연,1994-05-04,LABOUM,South Korea,,161,44,Gwangju,,,Main Vocalist,https:/www.instagram.com/
https://dbkpop.com/idol/zn-laboum/,ZN,Bae Jinye,배진예,지엔,1994-06-09,LABOUM,South Korea,,169,48,Bucheon,UNI.T,,Main Dancer,https:/www.instagram.com/
https://dbkpop.com/idol/haein-laboum/,Haein,Yeom Haein,염해인,해인,1995-05-19,LABOUM,South Korea,,162,45,Ojeonggu,,,Lead Dancer,https:/www.instagram.com/
https://dbkpop.com/idol/solbin-laboum/,Solbin,Ahn Solbin,안솔빈,솔빈,1997-08-19,LABOUM,South Korea,,169,52,Ojeonggu,,,Visual,https:/www.instagram.com/
https://dbkpop.com/idol/yulhee-laboum/,Yulhee,Kim Yulhee,김율희,율희,1997-11-27,,South Korea,,166,52,Bucheon,,LABOUM,Main Rapper,https:/www.instagram.com/
https://dbkpop.com/idol/boram/,Boram,Jeon Boram,전보람,보람,1986-03-22,,South Korea,,155,45,Seoul,,T-ara,,https:/www.instagram.com/bo_ram_0322
https://dbkpop.com/idol/qri/,Qri,Lee Jihyun,이지현,큐리,1986-12-12,T-ara,South Korea,,162,44,Goyang,,,,https:/www.instagram.com/qtfreet
https://dbkpop.com/idol/soyeon/,Soyeon,Park Soyeon,박소연,소연,1987-10-05,,South Korea,,163,46,Andong,,T-ara,,https:/www.instagram.com/melodysoyani
https://dbkpop.com/idol/eunjung/,Eunjung,Ham Eunjung,함은정,은정,1988-12-12,T-ara,South Korea,,167,47,Seoul,,,,https:/www.instagram.com/sweetgirl_eunjung
https://dbkpop.com/idol/hyomin/,Hyomin,Park Sunyoung,박선영,효민,1989-05-30,T-ara,South Korea,,167,43,Busan,,,,https:/www.instagram.com/hyominnn
https://dbkpop.com/idol/jiyeon/,Jiyeon,Park Jiyeon,박지연,지연,1993-06-07,T-ara,South Korea,,167,45,Seoul,,,,https:/www.instagram.com/jiyeon2__
https://dbkpop.com/idol/solar-mamamoo/,Solar,Kim Yongsun,김용선,솔라,1991-02-21,Mamamoo,South Korea,,163,43,Seoul,,,Leader,https:/www.instagram.com/
,Moonbyul,Moon Byulyi,문별이,문별,1992-12-22,Mamamoo,South Korea,,165,45,Bucheon,,,Main Rapper,https:/www.instagram.com/
,Wheein,Jung Wheein,정휘인,휘인,1995-04-17,Mamamoo,South Korea,,162,43,Jeonju,,,Lead Vocalist,https:/www.instagram.com/
,Hwasa,Ahn Hyejin,안혜진,화사,1995-07-23,Mamamoo,South Korea,,162,44,Jeonju,,,Lead Vocalist,https:/www.instagram.com/
https://dbkpop.com/idol/yeoeun-melodyday/,Yeoeun,Jung Jieun,정지은,여은,1990-01-25,MELODYDAY,South Korea,,169,0,,,,Leader,https:/www.instagram.com/yeosilver
https://dbkpop.com/idol/yein-melodyday/,Yein,Ahn Yein,안예인,예인,1995-05-04,MELODYDAY,South Korea,,168,0,,,,Lead Vocalist,https:/www.instagram.com/yen_thankful954
https://dbkpop.com/idol/chahee-melodyday/,Chahee,Park Sooyoung,박수영,차희,1996-03-24,MELODYDAY,South Korea,,167,0,,,,Sub Vocalist,https:/www.instagram.com/hichaheebye
https://dbkpop.com/idol/yoomin-melodyday/,Yoomin,Na Yoomin,나유민,유민,1993-08-29,MELODYDAY,South Korea,,165,0,,,,Main Rapper,https:/www.instagram.com/im.umin
https://dbkpop.com/idol/elkie-clc/,Elkie,Chong Ting Yan,쫑딩얀,엘키,1998-11-02,,Hong Kong,,163,45,Hong Kong,,CLC,,https:/www.instagram.com/
https://dbkpop.com/idol/eunbin-clc/,Eunbin,Kwon Eunbin,권은빈,은빈,2000-01-06,CLC,South Korea,,167,48,Seoul,,,,https:/www.instagram.com/
https://dbkpop.com/idol/jisoo-blackpink/,Jisoo,Kim Jisoo,김지수,지수,1995-01-03,BLACKPINK,South Korea,,162,45,Seoul,,,,https:/www.instagram.com/
https://dbkpop.com/idol/jennie-blackpink/,Jennie,Kim Jennie,김제니,제니,1996-01-16,BLACKPINK,South Korea,,163,50,Anyang,,,,https:/www.instagram.com/
https://dbkpop.com/idol/rose-blackpink/,Rosé,Roseanne Park,로잔느 박,로제,1997-02-11,BLACKPINK,South Korea,,167,0,Auckland,,,,https:/www.instagram.com/
